STREET,ADDRESS,SIDE,FROM,TO,METER,MECH ID,MODEL,DOOR,VAULT,ISSUES,SPACES,TIME
Fort,20,SE,E. Columbus,Main,426,165,POM,Square,Extended,,1,
Fort,20,SE,E. Columbus,Main,427,166,POM,Square,Extended,,1,
Fort,30,SE,E. Columbus,Main,428,167,POM,Square,Extended,,1,
Fort,30,SE,E. Columbus,Main,429,168,POM,Square,Extended,,1,
Kaynor,5E,W,Lyman,Taylor,440,169,Duncan,Round,Dual-Head,,1,
Kaynor,5E,W,Lyman,Taylor,441,170,Duncan,Round,Dual-Head,,1,
Kaynor,7E,W,Lyman,Taylor,442,171,Duncan,Round,Dual-Head,,1,
Kaynor,11E,W,Lyman,Taylor,443,172,Duncan,Round,Dual-Head,,1,
Kaynor,11E,W,Lyman,Taylor,444,173,Duncan,Round,Dual-Head,,1,
Kaynor,19E,W,Lyman,Taylor,445,174,Duncan,Round,Dual-Head,,1,
Kaynor,19E,W,Lyman,Taylor,446,175,POM,Square,Extended,,1,
Kaynor,25E,W,Lyman,Taylor,447,176,POM,Square,Extended,,1,
